Название,Самопревосхождение
Дистанция,21.1
Набор,980
Рекорд,1:42:00
1,Нечпай Сергей,1:44:22,м,Горностай
2,Дидим Ооржак,1:48:33,м,
3,Голиков Дмитрий,1:49:20,м,Сойка
4,Пахомов Денис,1:58:55,м,RUNetka
5,Песегов Антон,1:59:09,м,TRIATLETA
6,Никонов Артем,2:13:53,м,Сойка
7,Серёдкин Андрей,2:23:35,м,
